event_name,event_date,source_scope,source_event_id,round_group,confirmed_procedure,pool
IFSC World Championships Bern 2023,2023-08-01,IFSC,1301,Qualification,Onsight,Boulder_Men
IFSC World Championships Bern 2023,2023-08-01,IFSC,1301,Qualification,Onsight,Boulder_Women
IFSC World Championships Bern 2023,2023-08-01,IFSC,1301,Semi-final,Onsight,Boulder_Men
IFSC World Championships Bern 2023,2023-08-01,IFSC,1301,Semi-final,Onsight,Boulder_Women
IFSC World Championships Bern 2023,2023-08-01,IFSC,1301,Final,Onsight,Boulder_Men
IFSC World Championships Bern 2023,2023-08-01,IFSC,1301,Final,Onsight,Boulder_Women
Campionato Italiano (B),2023-07-22,FASI,562,Qualification,Unknown,Boulder_Men
Campionato Italiano (B),2023-07-22,FASI,562,Qualification,Unknown,Boulder_Women
Campionato Italiano (B),2023-07-22,FASI,562,Semi-final,Unknown,Boulder_Men
Campionato Italiano (B),2023-07-22,FASI,562,Semi-final,Unknown,Boulder_Women
Campionato Italiano (B),2023-07-22,FASI,562,Final,Unknown,Boulder_Men
Campionato Italiano (B),2023-07-22,FASI,562,Final,Unknown,Boulder_Women
NACS Bouldering,2023-07-08,CEC,52,Qualification,Flash,Boulder_Men
NACS Bouldering,2023-07-08,CEC,52,Qualification,Flash,Boulder_Women
NACS Bouldering,2023-07-08,CEC,52,Semi-final,Unknown,Boulder_Men
NACS Bouldering,2023-07-08,CEC,52,Semi-final,Unknown,Boulder_Women
NACS Bouldering,2023-07-08,CEC,52,Final,Unknown,Boulder_Men
NACS Bouldering,2023-07-08,CEC,52,Final,Unknown,Boulder_Women
Offene Sächsische Meisterschaft Bouldern,2023-06-17,DIGITALROCK,13741,Final,Onsight,Boulder_Women
Offene Sächsische Meisterschaft Bouldern,2023-06-17,DIGITALROCK,13741,Final,Onsight,Boulder_Men
IFSC World Cup Innsbruck 2023,2023-06-14,IFSC,1297,Qualification,Onsight,Boulder_Men
IFSC World Cup Innsbruck 2023,2023-06-14,IFSC,1297,Qualification,Onsight,Boulder_Women
IFSC World Cup Innsbruck 2023,2023-06-14,IFSC,1297,Semi-final,Onsight,Boulder_Men
IFSC World Cup Innsbruck 2023,2023-06-14,IFSC,1297,Semi-final,Onsight,Boulder_Women
IFSC World Cup Innsbruck 2023,2023-06-14,IFSC,1297,Final,Onsight,Boulder_Men
IFSC World Cup Innsbruck 2023,2023-06-14,IFSC,1297,Final,Onsight,Boulder_Women
IFSC World Cup Brixen 2023,2023-06-09,IFSC,1296,Qualification,Onsight,Boulder_Men
IFSC World Cup Brixen 2023,2023-06-09,IFSC,1296,Qualification,Onsight,Boulder_Women
IFSC World Cup Brixen 2023,2023-06-09,IFSC,1296,Semi-final,Onsight,Boulder_Men
IFSC World Cup Brixen 2023,2023-06-09,IFSC,1296,Semi-final,Onsight,Boulder_Women
IFSC World Cup Brixen 2023,2023-06-09,IFSC,1296,Final,Onsight,Boulder_Men
IFSC World Cup Brixen 2023,2023-06-09,IFSC,1296,Final,Onsight,Boulder_Women
"IFSC Europe - Continental Youth Championship (B,S) - Duisburg (GER) 2023",2023-06-08,IFSC,1329,Qualification,Flash,Boulder_Men
"IFSC Europe - Continental Youth Championship (B,S) - Duisburg (GER) 2023",2023-06-08,IFSC,1329,Qualification,Flash,Boulder_Women
"IFSC Europe - Continental Youth Championship (B,S) - Duisburg (GER) 2023",2023-06-08,IFSC,1329,Semi-final,Onsight,Boulder_Men
"IFSC Europe - Continental Youth Championship (B,S) - Duisburg (GER) 2023",2023-06-08,IFSC,1329,Semi-final,Onsight,Boulder_Women
"IFSC Europe - Continental Youth Championship (B,S) - Duisburg (GER) 2023",2023-06-08,IFSC,1329,Final,Onsight,Boulder_Men
"IFSC Europe - Continental Youth Championship (B,S) - Duisburg (GER) 2023",2023-06-08,IFSC,1329,Final,Onsight,Boulder_Women
Copa España 2023 - 3a Prueba Bloque - 3a Prueba Velocidad - Madrid,2023-06-02,FEDME,13,Final,Unknown,Boulder_Men
Copa España 2023 - 3a Prueba Bloque - 3a Prueba Velocidad - Madrid,2023-06-02,FEDME,13,Final,Unknown,Boulder_Women
Copa España 2023 - 3a Prueba Bloque - 3a Prueba Velocidad - Madrid,2023-06-02,FEDME,13,Clasificatoria,Unknown,Boulder_Men
Copa España 2023 - 3a Prueba Bloque - 3a Prueba Velocidad - Madrid,2023-06-02,FEDME,13,Clasificatoria,Unknown,Boulder_Women
IFSC World Cup Prague 2023,2023-06-02,IFSC,1295,Qualification,Onsight,Boulder_Men
IFSC World Cup Prague 2023,2023-06-02,IFSC,1295,Qualification,Onsight,Boulder_Women
IFSC World Cup Prague 2023,2023-06-02,IFSC,1295,Semi-final,Onsight,Boulder_Men
IFSC World Cup Prague 2023,2023-06-02,IFSC,1295,Semi-final,Onsight,Boulder_Women
IFSC World Cup Prague 2023,2023-06-02,IFSC,1295,Final,Onsight,Boulder_Men
IFSC World Cup Prague 2023,2023-06-02,IFSC,1295,Final,Onsight,Boulder_Women
IFSC European Cup Loverval 2023,2023-05-27,IFSC,1318,Qualification,Onsight,Boulder_Men
IFSC European Cup Loverval 2023,2023-05-27,IFSC,1318,Qualification,Onsight,Boulder_Women
IFSC European Cup Loverval 2023,2023-05-27,IFSC,1318,Semi-final,Onsight,Boulder_Men
IFSC European Cup Loverval 2023,2023-05-27,IFSC,1318,Semi-final,Onsight,Boulder_Women
IFSC European Cup Loverval 2023,2023-05-27,IFSC,1318,Final,Onsight,Boulder_Men
IFSC European Cup Loverval 2023,2023-05-27,IFSC,1318,Final,Onsight,Boulder_Women
Copa España 2023 - 2a Prueba Bloque - 2a Prueba Velocidad - Cuenca,2023-05-20,FEDME,14,Final,Unknown,Boulder_Men
Copa España 2023 - 2a Prueba Bloque - 2a Prueba Velocidad - Cuenca,2023-05-20,FEDME,14,Final,Unknown,Boulder_Women
