coaching_unlock_rank,problem_id,coaching_athletes_unlocked,coaching_observations_unlocked,physical_observations_unlocked,board_observations_unlocked
495,CEC|event:153|route:14029,1,7,6,1
496,CEC|event:153|route:14030,1,7,6,1
497,CEC|event:153|route:14031,1,7,6,1
498,IFSC|event:1522|route:18996,1,4,3,1
499,IFSC|event:1522|route:18997,1,4,3,1
500,IFSC|event:1522|route:18998,1,4,3,1
501,IFSC|event:1522|route:18999,1,4,3,1
502,IFSC|event:1522|route:19273,1,4,3,1
503,IFSC|event:1522|route:19274,1,4,3,1
504,IFSC|event:1522|route:19275,1,4,3,1
505,IFSC|event:1522|route:19276,1,4,3,1
506,IFSC|event:1522|route:19277,1,4,3,1
507,CEC|event:224|route:22451,1,4,3,1
508,CEC|event:224|route:22452,1,4,3,1
509,CEC|event:224|route:22453,1,4,3,1
510,CEC|event:224|route:22454,1,4,3,1
511,CEC|event:224|route:22455,1,4,3,1
512,CEC|event:224|route:22456,1,4,3,1
513,CEC|event:224|route:23236,1,4,3,1
514,CEC|event:224|route:23237,1,4,3,1
515,CEC|event:224|route:23238,1,4,3,1
516,CEC|event:224|route:23239,1,4,3,1
517,CEC|event:224|route:23260,1,4,3,1
518,CEC|event:224|route:23261,1,4,3,1
519,CEC|event:224|route:23262,1,4,3,1
520,CEC|event:224|route:23263,1,4,3,1
521,CEC|event:225|route:22595,1,4,3,1
522,CEC|event:225|route:22596,1,4,3,1
523,CEC|event:225|route:22597,1,4,3,1
524,CEC|event:225|route:22598,1,4,3,1
525,CEC|event:225|route:22599,1,4,3,1
526,CEC|event:119|route:9161,1,2,1,1
527,CEC|event:119|route:9162,1,2,1,1
528,CEC|event:119|route:9163,1,2,1,1
529,CEC|event:119|route:9164,1,2,1,1
530,CEC|event:119|route:9289,1,2,1,1
531,CEC|event:119|route:9290,1,2,1,1
532,CEC|event:119|route:9291,1,2,1,1
533,CEC|event:119|route:9292,1,2,1,1
534,CEC|event:119|route:9293,1,2,1,1
535,CEC|event:119|route:9294,1,2,1,1
