snapshot_date,pool,cycle_phase,rank40_points,rank40_global_elo,median_top40_global_elo,ranked_athletes,events_365
2016-04-15,Boulder_Women,Early cycle,466.65999999999997,2021.8899307167842,1909.2701111641568,153,6
2016-04-23,Boulder_Men,Early cycle,816.83,1848.9479381471706,1914.2627135524965,230,7
2016-04-23,Boulder_Women,Early cycle,495.0,1955.7740816894732,1901.5329662825907,172,7
2016-04-30,Boulder_Men,Early cycle,895.65,1675.4085476539567,1915.4984521299664,237,8
2016-04-30,Boulder_Women,Early cycle,588.6600000000001,1895.1928401806513,1895.5773231609114,173,8
2016-05-14,Boulder_Men,Early cycle,937.08,1895.4743156337088,1923.8684589828495,251,9
2016-05-14,Boulder_Women,Early cycle,610.0,2199.9786426409855,1890.450176410077,187,9
2016-05-20,Boulder_Men,Early cycle,960.1600000000001,1840.7685541360772,1927.0711103320982,273,10
2016-05-20,Boulder_Women,Early cycle,669.8199999999999,1834.075552349147,1892.242864976413,193,10
2016-06-10,Boulder_Men,Early cycle,857.5,2126.7407098882863,1945.275498003712,258,9
2016-06-10,Boulder_Women,Early cycle,589.16,1788.2426157993755,1886.755629754665,177,9
2016-08-12,Boulder_Men,Early cycle,844.49,1887.703036953366,1937.2799192435564,288,8
2016-08-12,Boulder_Women,Early cycle,651.0,1695.1401536361666,1888.1142587482873,201,8
2016-09-14,Boulder_Men,Early cycle,751.5,1790.2481851025848,1936.642342262548,278,8
2016-09-14,Boulder_Women,Early cycle,612.5,1933.8324992777202,1904.27579043244,186,8
2017-04-07,Boulder_Men,Early cycle,889.91,1844.0691491925274,1943.721594127011,307,9
2017-04-07,Boulder_Women,Early cycle,706.24,1803.3684519072708,1897.3876892546627,200,9
2017-04-22,Boulder_Men,Early cycle,893.74,1844.9449709341131,1965.3388567405405,317,9
2017-04-22,Boulder_Women,Early cycle,672.6600000000001,1896.0682554718103,1897.3876892546627,209,9
2017-04-29,Boulder_Men,Early cycle,893.0,1972.1043338663574,1967.7712945873432,317,9
2017-04-29,Boulder_Women,Early cycle,681.66,2055.8758326052434,1907.3020384139004,199,9
2017-05-06,Boulder_Men,Early cycle,931.6600000000001,1893.3031171903388,1954.6477172122575,317,9
2017-05-06,Boulder_Women,Early cycle,743.33,1657.0623569292839,1919.8696134909017,210,9
2017-06-09,Boulder_Men,Early cycle,787.49,1873.415964600586,1975.974089799557,300,8
2017-06-09,Boulder_Women,Early cycle,727.5,1829.213183053064,1928.6033463977822,203,8
2017-06-24,Boulder_Men,Early cycle,789.99,1861.0898636989425,1976.6388195783857,306,8
2017-06-24,Boulder_Women,Early cycle,742.0,1835.3000579399827,1925.2899296508144,213,8
2017-08-18,Boulder_Men,Early cycle,839.99,1990.6812546957533,1986.2938256677985,327,8
2017-08-18,Boulder_Women,Early cycle,770.0,1883.159028444972,1926.0168403071366,230,8
2018-04-13,Boulder_Men,Early cycle,771.99,1869.1524836449887,1999.7179867307193,292,7
2018-04-13,Boulder_Women,Early cycle,579.58,1965.6555998016286,1945.2458464555607,227,7
2018-04-21,Boulder_Men,Early cycle,849.16,1993.1692040935752,1997.105272610989,314,8
2018-04-21,Boulder_Women,Early cycle,692.82,2001.6686969452,1940.6056258596996,253,8
2018-05-05,Boulder_Men,Early cycle,655.16,1861.112930066332,1985.3818518762605,310,7
2018-05-05,Boulder_Women,Early cycle,566.83,1687.6218220178896,1941.9206855844152,248,7
2018-05-12,Boulder_Men,Early cycle,677.5,2053.330462588082,1994.2151388492182,295,7
2018-05-12,Boulder_Women,Early cycle,665.41,1991.1006718423987,1941.9206855844152,233,7
2018-06-02,Boulder_Men,Early cycle,766.66,1952.8115701960794,1988.0167497683115,314,8
2018-06-02,Boulder_Women,Early cycle,734.1600000000001,1940.1209796533822,1943.4470312462688,246,8
2018-06-08,Boulder_Men,Early cycle,835.3199999999999,1635.265715906551,1981.8490155034729,332,9
2018-06-08,Boulder_Women,Early cycle,798.32,1680.4266363543904,1940.754912723728,259,9
2018-08-17,Boulder_Men,Early cycle,804.75,1839.167403853695,1987.3680756861936,315,8
2018-08-17,Boulder_Women,Early cycle,841.25,1980.7265062979436,1940.1855941300505,247,8
2018-09-06,Boulder_Men,Early cycle,802.3199999999999,1958.0325665371845,1985.4357562392827,299,8
2018-09-06,Boulder_Women,Early cycle,832.49,1688.889918020497,1940.8396943433988,235,8
2019-04-05,Boulder_Men,Build phase,941.32,1895.7116247576303,1995.4117299806817,330,9
2019-04-05,Boulder_Women,Build phase,954.58,1898.3854419989318,1943.1513280374998,267,9
2019-04-12,Boulder_Men,Build phase,1023.66,1890.6782231794034,2001.7014621059016,347,10
2019-04-12,Boulder_Women,Build phase,1005.41,1964.8935799335907,1955.923673879206,275,10
2019-04-26,Boulder_Men,Build phase,928.6600000000001,1959.0956987623613,2010.916688459227,330,9
2019-04-26,Boulder_Women,Build phase,966.6500000000001,2067.601151585273,1959.8371315063255,263,9
2019-05-03,Boulder_Men,Build phase,1017.9100000000001,1959.5487398911257,2007.6750566910644,331,10
2019-05-03,Boulder_Women,Build phase,1117.08,1953.7896006432927,1953.008957009206,267,10
2019-05-18,Boulder_Men,Build phase,1016.5699999999999,1863.6782887979068,2011.6637108320795,336,9
2019-05-18,Boulder_Women,Build phase,1031.15,1975.797270841638,1989.6225079852206,281,9
