model,evaluation_domain,evaluation_window,competitions,athlete_starts,spearman,winner_logloss,pairwise_brier,pairwise_logloss,top_24_brier,top_16_brier,top_8_brier,top_3_brier,pairwise_brier_s250,pairwise_logloss_s250,pairwise_brier_s300,pairwise_logloss_s300,pairwise_brier_s350,pairwise_logloss_s350,pairwise_brier_s450,pairwise_logloss_s450,pairwise_brier_s500,pairwise_logloss_s500,pairwise_brier_s600,pairwise_logloss_s600
hier_source_balanced_anchored_cap400_e4_sd100,CEC other,2022-2024 tuning,6,306,0.3158055316396211,3.2155910679517365,0.22990342502004216,0.6527978980316455,0.23130767519250647,0.21758500667212308,0.17043827410626958,0.11135092342049284,0.24430056286082827,0.6991337956327257,0.23718495541818382,0.6740503968050571,0.23269269754692123,0.6603512764961396,0.22823095423324624,0.6487448564510027,0.2272980031197919,0.6467617244961475,0.22674922607941173,0.6460787976907515
hier_source_balanced_anchored_cap400_e4_sd100,CEC other,2025+ locked evaluation,4,231,0.5738389683177598,3.664857692696237,0.19182927659940693,0.5748981050883885,0.19144248387635052,0.17650758812449655,0.14299055934507596,0.10781551736749136,0.19624158051944254,0.5955866824473564,0.19322339340976702,0.5810989074342153,0.19196346079763527,0.575673724180571,0.19240788929329633,0.5765631917752299,0.19342835496328584,0.5794986569398523,0.1961423608301229,0.5868844878597184
hier_source_balanced_anchored_cap400_e4_sd100,CEC provincial / local,2022-2024 tuning,124,2868,0.468318494388976,2.761821529951488,0.22695825399226893,0.65147171250269,0.08723028949784475,0.1660173004464517,0.20860359039488782,0.18461224973439422,0.2280969871663121,0.6586433509061166,0.22686206182350024,0.6530524859233869,0.22664687070346143,0.6513533694100228,0.22753575062923498,0.6524524293678059,0.22823830133255998,0.6538281278368847,0.22974310995622313,0.6569271589692869
hier_source_balanced_anchored_cap400_e4_sd100,CEC provincial / local,2025+ locked evaluation,233,5930,0.5935202224205012,2.6929064572860555,0.20391145356083765,0.6012294074951647,0.09627100669365965,0.16252182601581822,0.19620628901890547,0.16345071771504124,0.19702842620335237,0.5838177126772335,0.19895092404191753,0.5887898505685151,0.20137515148315666,0.594976240885028,0.20638099621004843,0.6071290034417746,0.20870655877464814,0.6125410375889486,0.2128390833568609,0.6218770637566253
hier_source_balanced_anchored_cap400_e4_sd100,Open WC+,2022-2024 tuning,69,2883,0.729848990537208,2.9350046164898544,0.15226016458285335,0.4683009314750712,0.14584249215919792,0.15551618940912337,0.1300349765641766,0.0859871723261852,0.15379572517376025,0.47666306230834854,0.15190339956116064,0.4666230567743186,0.15155887049289768,0.46520960462090016,0.15365987628492034,0.4737555859626121,0.155515857149448,0.4803985626644756,0.1599689071164516,0.4948637106896102
hier_source_balanced_anchored_cap400_e4_sd100,Open WC+,2025+ locked evaluation,45,1831,0.7583764746202355,2.8038070226614242,0.14808852066406203,0.461429195597196,0.15192560104550146,0.15352831816568052,0.12372873312109706,0.08257557294874444,0.14693910914930086,0.46096265129380515,0.14607223499418828,0.454835405580347,0.14661960381096317,0.45624176425994034,0.15014393436954024,0.46847617709485856,0.15255730817135738,0.4763488923453986,0.15788305314899,0.49253796755942236
hier_source_balanced_anchored_cap400_e4_sd100,Other,2022-2024 tuning,736,23350,0.5624071911780043,2.7319997752184246,0.20266932930141646,0.5997022947025755,0.10726342816083742,0.1522481864906558,0.1762191749031352,0.14566750888813423,0.2039746394420904,0.6064220196333917,0.2024162560132422,0.5996323315119747,0.20216232268775072,0.5983403489869726,0.2036131342411149,0.6023433386546277,0.2047969109520082,0.6055620701127744,0.2074472589760215,0.6124268763451012
hier_source_balanced_anchored_cap400_e4_sd100,Other,2025+ locked evaluation,1922,47515,0.677175642416342,2.6605318639658817,0.20274166183717462,0.6010625451310149,0.0751399593008443,0.13094539832191981,0.19215695822264797,0.17420567221447314,0.19490154050164638,0.5820203261385954,0.1973332914027037,0.5879088530683242,0.20004409730497383,0.5945621600360724,0.20530068832253856,0.6070957139636208,0.20767409753147878,0.6125800355034917,0.21183946125134034,0.6219731665007988
hier_source_balanced_anchored_e4_sd100,CEC national,2022-2024 tuning,24,1306,0.4247828083739677,3.6494765121861037,0.22632425790439448,0.6474754202760308,0.21525627096086652,0.21621485315671285,0.18518432373356394,0.14447102344136056,0.22731652188708287,0.6522824185926308,0.22609073435052782,0.6477317687841849,0.2259348175372701,0.6467869994063303,0.22698452911239075,0.6489013162909769,0.2277681600828673,0.6506339187652191,0.22942050608963335,0.6542689719902895
hier_source_balanced_anchored_e4_sd100,CEC national,2025+ locked evaluation,14,719,0.6278366139645553,3.3601781906424697,0.18980327357462382,0.5670963621252332,0.19229669561721816,0.18695894293881565,0.15934119101923097,0.11527191559607124,0.1795786990537908,0.538866363651785,0.18266770122730702,0.5480278397614672,0.1862170111380208,0.5577870344023118,0.19323633594378836,0.5756253268402205,0.19643872269624515,0.5833150378507882,0.20208644682287397,0.5963834744658534
hier_source_balanced_anchored_e4_sd100,CEC other,2022-2024 tuning,6,306,0.31434419958019194,3.2700998285700607,0.2284791615752796,0.6495674177054728,0.2317169498837142,0.21867465886920168,0.1761018806054406,0.1200508078111528,0.23870271344312813,0.6789993952016147,0.23328192022401642,0.6621014093099532,0.2301742162005589,0.6536429104543658,0.22765808516992544,0.6478836634386449,0.22738251967175885,0.6475456933556377,0.22772674535413037,0.6488418221001494
hier_source_balanced_anchored_e4_sd100,CEC other,2025+ locked evaluation,4,231,0.5800981689381224,3.665155210835451,0.19150636172496927,0.5750128456548109,0.19383835808804534,0.18000778102452544,0.14611695154705376,0.1134388136219557,0.19265920038957698,0.5815222939731137,0.1908899772186571,0.5737672527215798,0.19072464324983865,0.5727830589508718,0.1928302509744327,0.578745986148697,0.1944461542132056,0.5831187358490469,0.19799577484375358,0.5922053372591349
hier_source_balanced_anchored_e4_sd100,CEC provincial / local,2022-2024 tuning,124,2868,0.4683789254903541,2.790716139409041,0.22780127395645192,0.6528313094286881,0.08855935538454082,0.16687400488054574,0.2113857175169339,0.1902098181850525,0.22699978929373657,0.6529969262418258,0.22666085664098243,0.6510040347859888,0.22706627512437072,0.6514235524375829,0.228664940738031,0.6546117276704526,0.22955825888870637,0.6564859951358538,0.23126537037272654,0.6600755771942524
